Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,LenX,LenY,LenZ,X,Y,Z,Box_width,Box_depth,Box_height,Skriting,skriting_width,carcass_thickness,door_thickness,backplank_thickness,VB main position,VB double position,screw position,Profile_Depth,Profile_Width,Profile_Distance,,,,,,,,,,,
vertical plank 4,2,,,,,,20,490,1950,1650,100,130,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,50,890,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,245,890,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,440,890,,,,,,,,,,,,,,,,,,,,,,,,,
bottom plank,2,,,,,,2360,590,20,70,0,110,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,770,150,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,770,345,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,770,540,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,790,150,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,790,345,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,790,540,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,1570,150,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,1570,345,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,1570,540,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,1590,150,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,1590,345,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,1590,540,20,,,,,,,,,,,,,,,,,,,,,,,,,
top plank,2,,,,,,2360,590,20,70,0,2080,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,2350.5,50,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,2350.5,295,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,2350.5,540,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,770,150,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,770,345,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,770,540,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,790,150,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,790,345,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,790,540,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,1570,150,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,1570,345,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,1570,540,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,1590,150,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,1590,345,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,1590,540,0,,,,,,,,,,,,,,,,,,,,,,,,,
left plank,2,,,,,,20,590,2100,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,50,2090,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,197.5,2090,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,392.5,2090,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,540,2090,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,150,1020,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,345,1020,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,540,1020,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,50,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,197.5,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,392.5,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,540,120,,,,,,,,,,,,,,,,,,,,,,,,,
right plank,2,,,,,,20,602,2100,2430,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,50,2089,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,295,2089,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,540,2089,,,,,,,,,,,,,,,,,,,,,,,,,
slot groove,3,,,,,,10,10,1995,0,600,105,,,,,,,,,,,,,,,,,,,,,,,,,
Dummy,2,,,,,,50,20,1990,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,
Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,F_LenX,F_LenY,F_LenZ,F_X,F_Y,F_Z,Box_width,Box_depth,Box_height,Skriting,skriting_width,carcass_thickness,door_thickness,backplank_thickness,dummy,VB main position,VB double position,screw position,Profile_Depth,Profile_Width,Profile_Distance,,,,,,,,,,
2Door Sliding WR ExptoWall,1,,MasterBedroom,East_Wall,Simple Box,ExptoWall,1100,550,2100,,,,1100,550,2100,110,1130,20,21,11,50,50,50,50,,,,,,,,,,,,,
Skriting,2,,,,,,1130,20,110,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Door2,2,,,,,,560,21,1918,520,79,130,,,,,,,,,,,,,,,,,,,,,,,,,
Back Plank 1,2,,,,,,540,11,1990,10,539,110,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom Plank,2,,,,,,1060,539,20,20,0,110,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,520,150,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,520,319.5,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,520,489,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,540,150,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,540,319.5,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,540,489,20,,,,,,,,,,,,,,,,,,,,,,,,,
Door1,2,,,,,,560,21,1918,20,58,130,,,,,,,,,,,,,,,,,,,,,,,,,
Dummy Plank,2,,,,,,50,20,1990,1100,0,110,,,,,,,,,,,,,,,,,,,,,,,,,
plank,2,,,,,,50,530,20,1100,20,2080,,,,,,,,,,,,,,,,,,,,,,,,,
vertical 2,2,,,,,,20,439,1950,550,100,130,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,50,890,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,219.5,890,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,389,890,,,,,,,,,,,,,,,,,,,,,,,,,
vertical 1,2,,,,,,20,439,1950,530,100,130,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,50,890,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,219.5,890,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,389,890,,,,,,,,,,,,,,,,,,,,,,,,,
shelf 1,2,,,,,,510,439,20,20,100,1010,,,,,,,,,,,,,,,,,,,,,,,,,
shelf 2,2,,,,,,510,439,20,570,100,1010,,,,,,,,,,,,,,,,,,,,,,,,,
top plank,2,,,,,,1060,539,20,20,0,2080,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,50,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,269.5,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,489,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,259.5,150,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,259.5,319.5,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,259.5,489,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,279.5,150,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,279.5,319.5,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,279.5,489,0,,,,,,,,,,,,,,,,,,,,,,,,,
left plank,2,,,,,,20,552,2100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,50,2089,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,269.5,2089,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,489,2089,,,,,,,,,,,,,,,,,,,,,,,,,
slot groove,3,,,,,,10,11,1995,20,539,105,,,,,,,,,,,,,,,,,,,,,,,,,
right plank,2,,,,,,20,539,2100,1080,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,50,2090,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,184.75,2090,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,354.25,2090,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,489,2090,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,150,1020,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,319.5,1020,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,489,1020,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,50,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,184.75,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,354.25,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,489,120,,,,,,,,,,,,,,,,,,,,,,,,,
Back Plank 2,2,,,,,,550,11,1990,550,539,110,,,,,,,,,,,,,,,,,,,,,,,,,
Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,F_LenX,F_LenY,F_LenZ,F_X,F_Y,F_Z,Box_width,Box_depth,Box_height,frame_depth,,carcass_thickness,door_thickness,top_dummy_wiidth,top_dummy_height,,,,,,,,,,,,,,,,
Loft 1Door Btm not Exp,1,,Kitchen,West_Wall,Simple Box,ExptoBox,800,550,600,,,,800,550,600,90,,20,21,800,50,,,,,,,,,,,,,,,,
Left Plank,2,,,,,,20,529,600,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
Top Plank,2,,,,,,760,90,20,20,21,580,,,,,,,,,,,,,,,,,,,,,,,,,
Right Plank,2,,,,,,20,90,600,780,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom Plank 1,2,,,,,,760,90,20,20,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
dummy plank,2,,,,,,800,20,50,0,0,550,,,,,,,,,,,,,,,,,,,,,,,,,
Door,2,,,,,,798,21,548,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,21,100,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,21,448,,,,,,,,,,,,,,,,,,,,,,,,,
Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,F_LenX,F_LenY,F_LenZ,F_X,F_Y,F_Z,Box_width,Box_depth,Box_height,frame_depth,carcass_thickness,door_thickness,top_dummy_wiidth,top_dummy_height,bottom_thickness,boottom_width,,,,,,,,,,,,,,,
Loft 2Door Bottom exp,1,,Kitchen,East_Wall,Loft,BoxtoBox,900,550,700,,,,900,550,700,90,20,21,900,50,20,900,,,,,,,,,,,,,,,
Top plank,2,,,,,,860,90,20,20,21,680,,,,,,,,,,,,,,,,,,,,,,,,,
Right plank,2,,,,,,20,90,660,880,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
Left plank,2,,,,,,20,90,680,0,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank Exposed,2,,,,,,900,529,20,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank 2,2,,,,,,860,90,20,20,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
top dummy,2,,,,,,900,21,50,0,0,650,,,,,,,,,,,,,,,,,,,,,,,,,
Door 2,2,,,,,,448,21,648,450,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,424.5,21,120,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,424.5,21,548,,,,,,,,,,,,,,,,,,,,,,,,,
Door 1,2,,,,,,448,21,648,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,21,120,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,21,548,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank 1,2,,,,,,860,90,20,20,21,40,,,,,,,,,,,,,,,,,,,,,,,,,
Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,F_LenX,F_LenY,F_LenZ,F_X,F_Y,F_Z,Box_width,Box_depth,Box_height,frame_depth,carcass_thickness,door_thickness,top_dummy_wiidth,top_dummy_height,bottom_thickness,boottom_width,dummy,,,,,,,,,,,,,,
Loft 1Door bottom exp,1,,Kitchen,East_Wall,Loft,BoxtoWall,900,550,700,,,,900,550,700,90,20,21,900,50,20,900,50,,,,,,,,,,,,,,
Top plank,2,,,,,,860,90,20,20,21,680,,,,,,,,,,,,,,,,,,,,,,,,,
Right plank,2,,,,,,20,90,660,880,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
Left plank,2,,,,,,20,90,680,0,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank Exposed,2,,,,,,900,529,20,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank 2,2,,,,,,860,90,20,20,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
top dummy,2,,,,,,900,21,50,0,0,650,,,,,,,,,,,,,,,,,,,,,,,,,
Door 1,2,,,,,,898,21,648,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,21,120,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,21,548,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank 1,2,,,,,,860,90,20,20,21,40,,,,,,,,,,,,,,,,,,,,,,,,,
Dummy Plank,2,,,,,,50,20,680,900,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,F_LenX,F_LenY,F_LenZ,F_X,F_Y,F_Z,Box_width,Box_depth,Box_height,frame_depth,carcass_thickness,door_thickness,top_dummy_wiidth,top_dummy_height,bottom_thickness,boottom_width,dummy,,,,,,,,,,,,,,
Loft 2Door Bottom exp,1,,Kitchen,East_Wall,Loft,BoxtoWall,900,550,700,,,,900,550,700,90,20,21,900,50,20,900,50,,,,,,,,,,,,,,
Top plank,2,,,,,,860,90,20,20,21,680,,,,,,,,,,,,,,,,,,,,,,,,,
Right plank,2,,,,,,20,90,660,880,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
Left plank,2,,,,,,20,90,680,0,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank Exposed,2,,,,,,900,529,20,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank 2,2,,,,,,860,90,20,20,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
top dummy,2,,,,,,900,21,50,0,0,650,,,,,,,,,,,,,,,,,,,,,,,,,
Door 2,2,,,,,,448,21,648,450,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,424.5,21,120,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,424.5,21,548,,,,,,,,,,,,,,,,,,,,,,,,,
Door 1,2,,,,,,448,21,648,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,21,120,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,21,548,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank 1,2,,,,,,860,90,20,20,21,40,,,,,,,,,,,,,,,,,,,,,,,,,
Dummy Plank,2,,,,,,50,20,680,900,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,F_LenX,F_LenY,F_LenZ,F_X,F_Y,F_Z,Box_width,Box_depth,Box_height,frame_depth,carcass_thickness,door_thickness,top_dummy_wiidth,top_dummy_height,bottom_thickness,boottom_width,dummy,,,,,,,,,,,,,,
Loft 2Door boxtobox ,1,,Kitchen,East_Wall,Loft,BoxtoBox,800,110,700,,,,800,110,700,90,20,20,800,50,0,0,0,,,,,,,,,,,,,,
Dummy plank top,2,,,,,,800,20,50,0,0,650,,,,,,,,,,,,,,,,,,,,,,,,,
Right plank,2,,,,,,20,90,700,780,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
Top plank,2,,,,,,760,90,20,20,20,680,,,,,,,,,,,,,,,,,,,,,,,,,
Door 1,2,,,,,,398,20,648,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,20,100,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,20,548,,,,,,,,,,,,,,,,,,,,,,,,,
Door 2,2,,,,,,398,20,650,400,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,374.5,20,100,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,374.5,20,550,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank 2,2,,,,,,760,90,20,20,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
Left plank,2,,,,,,20,90,700,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank 1,2,,,,,,760,90,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,
Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,F_LenX,F_LenY,F_LenZ,F_X,F_Y,F_Z,Box_width,Box_depth,Box_height,frame_depth,carcass_thickness,door_thickness,top_dummy_wiidth,top_dummy_height,bottom_thickness,boottom_width,dummy,,,,,,,,,,,,,,
Loft 2Door Walltobox ,1,,Kitchen,East_Wall,Loft,WalltoBox,800,110,700,,,,800,110,700,90,20,20,800,50,0,0,50,,,,,,,,,,,,,,
Dummy plank top,2,,,,,,800,20,50,50,0,650,,,,,,,,,,,,,,,,,,,,,,,,,
Right plank,2,,,,,,20,90,700,830,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
Top plank,2,,,,,,760,90,20,70,20,680,,,,,,,,,,,,,,,,,,,,,,,,,
Door 1,2,,,,,,398,20,648,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,20,100,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,20,548,,,,,,,,,,,,,,,,,,,,,,,,,
Door 2,2,,,,,,398,20,650,450,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,374.5,20,100,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,374.5,20,550,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank 2,2,,,,,,760,90,20,70,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
Left plank,2,,,,,,20,90,700,50,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank 1,2,,,,,,760,90,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,
Dummy Plank,2,,,,,,50,20,700,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,F_LenX,F_LenY,F_LenZ,F_X,F_Y,F_Z,Box_width,Box_depth,Box_height,frame_depth,carcass_thickness,door_thickness,top_dummy_wiidth,top_dummy_height,bottom_thickness,boottom_width,dummy,,,,,,,,,,,,,,
Loft 2Door Bottom exp,1,,Kitchen,East_Wall,Loft,WalltoBox,900,550,700,,,,900,550,700,90,20,21,900,50,20,900,50,,,,,,,,,,,,,,
Top plank,2,,,,,,860,90,20,70,21,680,,,,,,,,,,,,,,,,,,,,,,,,,
Right plank,2,,,,,,20,90,660,930,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
Left plank,2,,,,,,20,90,680,50,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank Exposed,2,,,,,,900,529,20,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank 2,2,,,,,,860,90,20,70,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
top dummy,2,,,,,,900,21,50,50,0,650,,,,,,,,,,,,,,,,,,,,,,,,,
Door 2,2,,,,,,448,21,648,500,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,424.5,21,120,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,424.5,21,648,,,,,,,,,,,,,,,,,,,,,,,,,
Door 1,2,,,,,,448,21,648,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,21,120,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,21,548,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank 1,2,,,,,,860,90,20,70,21,40,,,,,,,,,,,,,,,,,,,,,,,,,
Dummy Plank,2,,,,,,50,20,680,0,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,F_LenX,F_LenY,F_LenZ,F_X,F_Y,F_Z,Box_width,Box_depth,Box_height,frame_depth,carcass_thickness,door_thickness,top_dummy_wiidth,top_dummy_height,bottom_thickness,boottom_width,dummy,,,,,,,,,,,,,,
Loft 1Door bottom exp,1,,Kitchen,East_Wall,Loft,WalltoBox,900,550,700,,,,900,550,700,90,20,21,900,50,20,900,50,,,,,,,,,,,,,,
Top plank,2,,,,,,860,90,20,70,21,680,,,,,,,,,,,,,,,,,,,,,,,,,
Right plank,2,,,,,,20,90,660,930,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
Left plank,2,,,,,,20,90,680,50,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank Exposed,2,,,,,,900,529,20,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank 2,2,,,,,,860,90,20,70,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
top dummy,2,,,,,,900,21,50,50,0,650,,,,,,,,,,,,,,,,,,,,,,,,,
Door 1,2,,,,,,898,21,648,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,21,120,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,21,548,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom plank 1,2,,,,,,860,90,20,70,21,40,,,,,,,,,,,,,,,,,,,,,,,,,
Dummy Plank,2,,,,,,50,20,680,0,21,20,,,,,,,,,,,,,,,,,,,,,,,,,
Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,F_LenX,F_LenY,F_LenZ,F_X,F_Y,F_Z,Box_width,Box_depth,Box_height,,,carcass_thickness,door_thickness,backplank_thickness,Unit_depth_left,Unit_depth_right,screw position,VB main position,VB double position,,,,,,,,,,,,
WM_L_corner 2,1,,Kitchen,East_Wall,Simple Box,BoxtoBox,1000,1150,810,,,,1000,1150,810,,,20,21,10,600,600,50,50,50,,,,,,,,,,,,
door 2 L corner,2,,,,,,419,21,808,579,550,20,,,,,,,,,,,,,,,,,,,,,,,,,
left back plank 2,2,,,,,,10,1150,800,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
left plank,2,,,,,,569,20,790,10,0,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,50,20,780,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,192.25,20,780,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,376.75,20,780,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,519,20,780,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,50,20,9.5,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,284.5,20,9.5,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,519,20,9.5,,,,,,,,,,,,,,,,,,,,,,,,,
right plank,2,,,,,,20,559,790,980,571,20,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,50,780,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,189.75,780,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,369.25,780,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,509,780,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,16,20,20,0,50,9.5,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,16,20,20,0,279.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,16,20,20,0,509,9.5,,,,,,,,,,,,,,,,,,,,,,,,,
door 1 L_corner,2,,,,,,21,548,808,579,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
top plank L corner,2,,,,,,970,1110,20,10,20,790,,,,,,,,,,,,,,,,,,,,,,,,,
slot groove right,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
